attemptIndex,finalStatus,categoryId,prefabName,biome,supportCellType,cellX,cellY,worldPosX,worldPosY,worldPosZ,rotEulerX,rotEulerY,rotEulerZ,scaleX,scaleY,scaleZ,supportCenterX,supportCenterY,supportCenterZ,yOffsetApplied,distanceToSpawn,distanceToExit,boundsCenterX,boundsCenterY,boundsCenterZ,boundsSizeX,boundsSizeY,boundsSizeZ,boundsMinX,boundsMinY,boundsMinZ,boundsMaxX,boundsMaxY,boundsMaxZ,maxDimension,rendererCount,initScaleX,initScaleY,initScaleZ,scaleAfterMultX,scaleAfterMultY,scaleAfterMultZ,scaleAfterClampX,scaleAfterClampY,scaleAfterClampZ,wasBoundsClamped,clampRatio,categorySizeCap,prefabForwardX,prefabForwardY,prefabForwardZ,prefabUpX,prefabUpY,prefabUpZ,firstRendPosX,firstRendPosY,firstRendPosZ,firstRendRotX,firstRendRotY,firstRendRotZ,estimatedTouchesGround,supportRenderMode,supportVisualType,supportObjectName
424,skip_chance,Buissons,,Foret,Mur,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,blockout,DebugWall,Wall_6_2
425,skip_chance,RochesTendres,,Foret,Mur,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,blockout,DebugWall,Wall_6_2
426,skip_chance,Champignons,,Foret,Mur,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,blockout,DebugWall,Wall_6_2
427,skip_chance,Troncs,,Foret,Mur,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,blockout,DebugWall,Wall_6_2
428,skip_chance,Feuillage,,Foret,Mur,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,blockout,DebugWall,Wall_6_2
429,skip_chance,Buissons,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
430,skip_chance,Herbe,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
431,skip_spawnZone,Fleurs,Flower_34,Foret,Sol,6,3,35.35,0.00,19.47,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,7.01,128.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
432,skip_chance,RochesTendres,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
433,skip_chance,Champignons,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
434,skip_chance,Troncs,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
435,skip_chance,Feuillage,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
436,skip_chance,Debris,,Foret,Sol,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_3_Tile
437,skip_chance,Buissons,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
438,skip_chance,Herbe,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
439,skip_chance,Fleurs,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
440,skip_spawnZone,RochesTendres,SoftRock_14,Foret,Sol,6,4,37.46,0.00,23.07,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,7.51,124.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
441,skip_chance,Champignons,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
442,skip_chance,Troncs,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
443,skip_chance,Feuillage,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
444,skip_chance,Debris,,Foret,Sol,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_4_Tile
445,skip_chance,Buissons,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
446,skip_spawnZone,Herbe,Grass_18,Foret,Sol,6,5,37.36,0.00,30.91,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,10.10,116.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
447,skip_chance,Fleurs,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
448,skip_chance,RochesTendres,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
449,skip_spawnZone,Champignons,Mashroom_13,Foret,Sol,6,5,36.42,0.00,30.97,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,9.48,116.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
450,skip_chance,Troncs,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
451,skip_chance,Feuillage,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
452,skip_chance,Debris,,Foret,Sol,6,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_5_Tile
453,skip_chance,Herbe,,Foret,Couloir,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_6_Tile
454,skip_chance,RochesTendres,,Foret,Couloir,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_6_Tile
455,skip_chance,Debris,,Foret,Couloir,6,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_6_Tile
456,skip_chance,Herbe,,Foret,Couloir,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_7_Tile
457,skip_chance,RochesTendres,,Foret,Couloir,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_7_Tile
458,skip_chance,Debris,,Foret,Couloir,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_7_Tile
459,skip_chance,Herbe,,Prairie,Couloir,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_8_Tile
460,skip_chance,RochesTendres,,Prairie,Couloir,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_8_Tile
461,skip_chance,Debris,,Prairie,Couloir,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Corridor_6_8_Tile
462,skip_chance,Buissons,,ForetAutomne,Sol,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_9_Tile
463,skip_chance,Herbe,,ForetAutomne,Sol,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_9_Tile
464,skip_chance,RochesTendres,,ForetAutomne,Sol,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_9_Tile
465,skip_chance,Troncs,,ForetAutomne,Sol,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_9_Tile
466,skip_chance,Debris,,ForetAutomne,Sol,6,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_9_Tile
467,skip_chance,Buissons,,ForetAutomne,Sol,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_10_Tile
468,skip_chance,Herbe,,ForetAutomne,Sol,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_10_Tile
469,skip_chance,RochesTendres,,ForetAutomne,Sol,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_10_Tile
470,skip_chance,Troncs,,ForetAutomne,Sol,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_10_Tile
471,skip_chance,Debris,,ForetAutomne,Sol,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_10_Tile
472,skip_chance,Buissons,,ForetAutomne,Sol,6,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_11_Tile
473,placed,Herbe,Grass_41,ForetAutomne,Sol,6,11,36.08,0.00,65.49,0.00,66.83,0.00,3.25,3.25,3.25,36.00,0.00,66.00,0.00,41.93,84.02,36.06,0.30,65.36,2.00,0.61,1.90,35.06,0.00,64.42,37.06,0.61,66.31,2.00,1,100.00,100.00,100.00,20.00,20.00,20.00,3.25,3.25,3.25,1,0.17,2.00,0.92,0.00,0.39,0.00,1.00,0.00,36.08,0.00,65.49,0.00,66.83,0.00,1,realGround_prefab,PandaMat,Floor_6_11_Tile
474,skip_chance,RochesTendres,,ForetAutomne,Sol,6,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,100.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,realGround_prefab,PandaMat,Floor_6_11_Tile
